Cod Interno,Cod Principal,Descrição
00122,06028838588310,AÇAI IBITURUNA 1.5 LTS FD/4
00090,06028838579646,AÇAI IBITURUNA 10 LTS
00112,06028838580086,AÇAI TRIBUS 1.5 LTS CX/4
113,06028838582684,AÇAI TRIBUS 10 LTS
115,06028838583742,AÇAI TRIBUS 250ML CX/18
,06028838584282,AÇAI TRIBUS ZERO 5 LTS
,06028838597398,AÇAI TRIBUS ZERO 1L
00774,,AÇAI TRIBUS COM CUPUAÇU 10 LTS
00773,,AÇAI TRIBUS COM NINHO 10 LTS
00196,06028838583292,PICOLÉ AÇAI 30 UND
112,06028838588556,PICOLÉ AÇAI COM LEITISSIMO 30 UND

00070,06028838587016,CUP BELGIAN CHOCOLATE 500ML CX/6
117,06028838586958,CUP PISTACHE 500ML CX/6
21,06028838586880,CUP TRIPLE CARAMEL 500ML CX/6

00174,06028838583506,DEFRUIT COCO 30 UND
00177,06028838583124,DEFRUIT LIMÃO 30 UND
00189,06028838583674,DEFRUIT MARACUJÁ 30 UND
00169,06028838583360,DEFRUIT MORANGO 30 UND
00170,06028838583056,DEFRUIT UVA 30 UND

00666,06028838586194,PICOLÉ CAJÁ TRIBUS 30 UND
00667,06028838586262,PICOLÉ CUPUAÇU TRIBUS 30 UND
00194,06028838587634,PICOLÉ GRAVIOLA TRIBUS 30 UND
00151,06028838582134,PICOLÉ MORANGO ZERO 30 UND

00192,06028838584664,DEMILK AMENDOIM 30 UND
00176,06028838585968,DEMILK CHOCOLATE 30 UND
00172,06028838584350,DEMILK CHOCOTELLA 30 UND
00190,06028838584428,DEMILK FLOCOS TRUFADO 30 UND
00173,06028838584596,DEMILK FRUTAS DO BOSQUE 30 UND
00178,06028838584732,DEMILK LEITE CONDENSADO 30 UND
00175,06028838586330,PICOLÉ CHICLETE KIDS 30 UND
79,06028838588624,PICOLÉ MILHO VERDE 30 UND

00179,06028838583810,CHOCOLLITO 26 UND
00071,06028838588792,CHOCOLLITO LEITISSIMO 26 UND

102,06028838586712,DELICATO CARAMELO CROCANTE 22 UND
85,06028838587948,DELICATO CHEESECAKE FRUTAS VERMELHAS 22 UND
93,06028838583988,DELICATO CIOCCOTELLA 22 UND
103,06028838580222,DELICATO LEITISSIMO TRUFADO 22 UND
87,06028838582998,DELICATO PETIT GATEAU 22 UND
00420,06028838584046,DELICKERS 26 UND
00127,06028838579882,SKIDELICIA BRIGADEIRO 22 UND

00652,06028838586026,POTE ABACAXI E COCO PREMIUM 1.5 LTS
47,06028838589850,POTE BOMBOM PREMIUM 1.5 LTS
48,06028838589232,POTE BRIGADEIRO PREMIUM 1.5 LTS
53,06028838589478,POTE CARIOCA CLASSICO 1.5 LTS
50,06028838589782,POTE CREME CLASSICO 1.5 LTS
51,06028838590122,POTE FLOCOS PREMIUM 1.5 LTS
52,06028838589928,POTE FRUTAS DO BOSQUE PREMIUM 1.5 LTS
54,06028838590290,POTE MORANGO PREMIUM 1.5 LTS
55,06028838589300,POTE NAPOLITANO CLASSICO 1.5 LTS
56,06028838590436,POTE PASSAS PREMIUM 1.5 LTS
57,06028838590054,POTE PAVÊ PREMIUM 1.5 LTS

00158,06028838582448,POTE NAPOLITANO ZERO 1L
00155,06028838582202,POTE SUNDAE CHOCOLATE 1L
00154,06028838582370,POTE SUNDAE MORANGO 1L

00137,06028838580918,POTE DELICATO CREME DE AVELÃ 1.5 LTS
00138,06028838581076,POTE DELICATO LEMON PIE 1.5 LTS
00145,06028838581908,POTE DELICATO PISTACHE 1.5 LTS

00146,06028838580840,GRAN PREMIUM IOGURTE GREGO 1.8 LTS
00147,06028838580604,GRAN PREMIUM CHOCOLATE TRUFADO 1.8 LTS
00144,06028838580772,GRAN PREMIUM LEITISSIMO TRUFADO 1.8 LTS

00166,06028838589546,BOMBOM CHOCOLATE AO LEITE
00181,06028838589614,BOMBOM CHOCOLATE BRANCO

00171,06028838580536,SORVETTO CHOCOLATE 18 UND
